timestamp,currency,total_volume_usd,total_oi,call_volume,put_volume,spot
2026-07-02T21:41:42.830047+00:00,HYPE,106794.22000000002,143470.0,21760.0,33280.0,65.841
2026-07-02T22:45:50.781206+00:00,SOL,650054.6699999997,902830.0,130890.0,34430.0,80.9936
2026-07-02T22:45:50.781206+00:00,HYPE,93831.02999999998,143470.0,19850.0,32320.0,65.878
2026-07-02T23:58:01.141600+00:00,SOL,648624.0999999996,902830.0,130750.0,34430.0,81.1852
2026-07-02T23:58:01.141600+00:00,HYPE,107193.39,147830.0,21730.0,37580.0,66.937
2026-07-03T03:18:55.020512+00:00,SOL,554514.3399999997,904620.0,116050.0,34700.0,80.9306
2026-07-03T03:18:55.020512+00:00,HYPE,119187.19999999994,156210.0,24020.0,42630.0,66.463
2026-07-03T06:45:52.788227+00:00,SOL,268018.30999999994,909660.0,60610.0,35890.0,81.2227
2026-07-03T06:45:52.788227+00:00,HYPE,205802.82999999993,177740.0,35330.0,55640.0,67.04
2026-07-03T09:51:27.113597+00:00,SOL,202016.01999999996,773260.0,44760.0,30250.0,81.1026
2026-07-03T09:51:27.113597+00:00,HYPE,213366.21999999986,127660.0,35970.0,39580.0,67.665
2026-07-03T12:02:58.149611+00:00,SOL,129905.59,775070.0,37140.0,24390.0,81.7105
2026-07-03T12:02:58.149611+00:00,HYPE,225961.4999999999,135300.0,38250.0,46710.0,69.275
2026-07-03T14:30:15.938369+00:00,SOL,117039.51999999999,779960.0,25670.0,21250.0,81.3287
2026-07-03T14:30:15.938369+00:00,HYPE,327738.53000000014,158320.0,50930.0,58230.0,69.591
2026-07-03T16:12:28.839522+00:00,SOL,110991.34999999999,781180.0,25170.0,19700.0,81.2897
2026-07-03T16:12:28.839522+00:00,HYPE,369396.75,169830.0,51790.0,67180.0,69.972
2026-07-03T17:47:27.362779+00:00,SOL,107810.43000000001,781110.0,23070.0,20240.0,81.6876
2026-07-03T17:47:27.362779+00:00,HYPE,356926.78,170930.0,49070.0,66660.0,70.153
2026-07-03T19:06:09.720062+00:00,SOL,116224.75000000003,782870.0,24160.0,20330.0,82.0515
2026-07-03T19:06:09.720062+00:00,HYPE,348021.56999999995,172060.0,49090.0,64500.0,70.37
2026-07-03T20:23:03.844355+00:00,SOL,143659.27000000008,788220.0,30230.0,25370.0,82.5436
2026-07-03T20:23:03.844355+00:00,HYPE,375222.9,170150.0,51950.0,71000.0,70.49
2026-07-03T21:38:40.629687+00:00,SOL,141033.77000000002,789650.0,30670.0,25990.0,82.3459
2026-07-03T21:38:40.629687+00:00,HYPE,372329.12999999995,174230.0,51740.0,77530.0,70.461
2026-07-03T22:40:54.036306+00:00,SOL,142818.42000000007,789990.0,30720.0,26450.0,82.2984
2026-07-03T22:40:54.036306+00:00,HYPE,372843.81999999995,174200.0,51760.0,80650.0,70.837
2026-07-03T23:42:10.790025+00:00,SOL,143154.36000000004,790030.0,30790.0,26480.0,82.4022
2026-07-03T23:42:10.790025+00:00,HYPE,363854.2399999999,174200.0,50260.0,77730.0,70.904
2026-07-04T01:16:22.260844+00:00,SOL,145337.15000000005,790040.0,30980.0,26900.0,82.0082
2026-07-04T01:16:22.260844+00:00,HYPE,358987.8399999999,175600.0,49700.0,77950.0,70.53
2026-07-04T05:03:13.876483+00:00,SOL,159879.84000000005,792520.0,31200.0,25810.0,83.2478
2026-07-04T05:03:13.876483+00:00,HYPE,307881.54,176000.0,42520.0,72690.0,71.419
2026-07-04T08:03:57.900102+00:00,SOL,153622.24,794650.0,28460.0,22540.0,82.551
2026-07-04T08:03:57.900102+00:00,HYPE,255629.2299999999,181020.0,36450.0,76410.0,71.387
2026-07-04T10:23:43.856661+00:00,SOL,130070.06000000001,776820.0,16340.0,19640.0,82.2715
2026-07-04T10:23:43.856661+00:00,HYPE,299976.11999999994,154950.0,35200.0,53970.0,70.958
2026-07-04T11:49:57.931252+00:00,SOL,128690.80999999998,778030.0,16420.0,19920.0,82.3696
2026-07-04T11:49:57.931252+00:00,HYPE,309781.5699999999,153810.0,34320.0,49390.0,70.655
2026-07-04T13:06:11.495878+00:00,SOL,105935.35999999997,779290.0,17640.0,15810.0,81.9852
2026-07-04T13:06:11.495878+00:00,HYPE,278512.42000000004,153810.0,30620.0,43910.0,70.796
2026-07-04T14:44:43.125849+00:00,SOL,113625.14999999998,783770.0,21050.0,15000.0,82.254
2026-07-04T14:44:43.125849+00:00,HYPE,186183.38,153930.0,21160.0,33080.0,70.692
2026-07-04T15:47:13.694586+00:00,SOL,122744.45999999999,787690.0,24230.0,15800.0,82.6734
2026-07-04T15:47:13.694586+00:00,HYPE,142813.91,156130.0,19380.0,28810.0,70.766
2026-07-04T16:56:09.337049+00:00,SOL,122782.43999999999,788170.0,24050.0,16470.0,82.5688
2026-07-04T16:56:09.337049+00:00,HYPE,142523.11000000002,159670.0,22170.0,29660.0,70.382
2026-07-04T17:59:10.549896+00:00,SOL,122835.42,789760.0,24540.0,17260.0,83.0882
2026-07-04T17:59:10.549896+00:00,HYPE,142863.47000000003,161050.0,23580.0,29640.0,70.541
2026-07-04T19:19:31.358855+00:00,SOL,118765.26,792150.0,24170.0,17960.0,82.3327
2026-07-04T19:19:31.358855+00:00,HYPE,143512.75000000003,162550.0,24680.0,30870.0,69.759
2026-07-04T20:28:02.086201+00:00,SOL,98321.37000000004,788190.0,21180.0,14730.0,81.9288
2026-07-04T20:28:02.086201+00:00,HYPE,114797.16000000002,163050.0,21840.0,27000.0,69.526
2026-07-04T21:28:00.163128+00:00,SOL,98079.42000000003,788760.0,19270.0,14900.0,82.4289
2026-07-04T21:28:00.163128+00:00,HYPE,114130.69,163050.0,21850.0,25680.0,70.108
2026-07-04T22:27:43.164252+00:00,SOL,96585.70000000001,788840.0,19200.0,14650.0,82.3179
2026-07-04T22:27:43.164252+00:00,HYPE,117686.51000000001,167410.0,25250.0,28190.0,69.89
2026-07-04T23:31:28.685181+00:00,SOL,96988.62,789460.0,19630.0,14710.0,82.1574
2026-07-04T23:31:28.685181+00:00,HYPE,151095.38,166520.0,30150.0,31520.0,69.783
2026-07-05T01:22:57.312111+00:00,SOL,101891.64000000001,791510.0,21980.0,14730.0,81.2208
2026-07-05T01:22:57.312111+00:00,HYPE,184741.47,165730.0,33610.0,33080.0,68.676
2026-07-05T05:31:46.673478+00:00,SOL,85461.93999999999,793110.0,21720.0,13050.0,80.9715
2026-07-05T05:31:46.673478+00:00,HYPE,178203.6,173000.0,43590.0,32600.0,68.354
2026-07-05T08:29:53.081536+00:00,SOL,77481.5,783690.0,19420.0,7040.0,80.8831
2026-07-05T08:29:53.081536+00:00,HYPE,162050.87999999998,136020.0,29140.0,14410.0,68.574
2026-07-05T10:39:00.141494+00:00,SOL,74537.05000000005,785790.0,20990.0,7340.0,80.5658
2026-07-05T10:39:00.141494+00:00,HYPE,116110.03000000003,138610.0,22820.0,13760.0,68.826
2026-07-05T12:03:20.638512+00:00,SOL,69774.01000000001,787670.0,20850.0,8330.0,80.775
2026-07-05T12:03:20.638512+00:00,HYPE,97649.82000000004,138810.0,20170.0,12760.0,68.801
2026-07-05T14:07:13.896984+00:00,SOL,78871.14000000003,793150.0,22910.0,10190.0,81.5326
